Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Tax status","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
simple,MAX927,"DIRECT COLOR CLEAR 60ML",1,0,visible,"Professional Italian Hair Care: DIRECT COLOR CLEAR 60ML","DIRECT COLOR CLEAR 60ML",taxable,1,100,0,0,,,,,1,,,"7,107.10000","Maxy Look > Technical & Coloring","Maxy Look, Technical & Coloring, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX927-direct-coloring-clear.jpg.png",,,,,,,,,0,,,,
simple,MAX601,"PROTECTING SHAMPOO 1000ML",1,0,visible,"Professional Italian Hair Care: PROTECTING SHAMPOO 1000ML","PROTECTING SHAMPOO 1000ML",taxable,1,100,0,0,,,,,1,,,13688.2746,"Maxy Look > Shampoos","Maxy Look, Shampoos, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX601-protecting-shampoo-1000-ml.png",,,,,,,,,0,,,,
simple,MAX602,"PROTECTING SHAMPOO 300ML",1,0,visible,"Professional Italian Hair Care: PROTECTING SHAMPOO 300ML","PROTECTING SHAMPOO 300ML",taxable,1,100,0,0,,,,,1,,,7036.029,"Maxy Look > Shampoos","Maxy Look, Shampoos, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX602-protecting-shampoo-300-ml.png",,,,,,,,,0,,,,
simple,MAX603,"PROTECTING MASK 1000ML",1,0,visible,"Professional Italian Hair Care: PROTECTING MASK 1000ML","PROTECTING MASK 1000ML",taxable,1,100,0,0,,,,,1,,,13858.845,"Maxy Look > Conditioners & Masks","Maxy Look, Conditioners & Masks, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX603-protecting-mask-1000-ml.png",,,,,,,,,0,,,,
simple,MAX604,"PROTECTING MASK 300ML",1,0,visible,"Professional Italian Hair Care: PROTECTING MASK 300ML","PROTECTING MASK 300ML",taxable,1,100,0,0,,,,,1,,,7931.5236,"Maxy Look > Conditioners & Masks","Maxy Look, Conditioners & Masks, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX604-protecting-mask-300-ml.png",,,,,,,,,0,,,,
simple,MAX605,"PROTECTING DUAL PHASE SPRAY 200ML",1,0,visible,"Professional Italian Hair Care: PROTECTING DUAL PHASE SPRAY 200ML","PROTECTING DUAL PHASE SPRAY 200ML",taxable,1,100,0,0,,,,,1,,,8812.804,"Maxy Look > Styling & Finishing","Maxy Look, Styling & Finishing, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/protecting-dual-phase-spray-300ml.png",,,,,,,,,0,,,,
simple,MAX606,"NOURISHING SHAMPOO 1000ML",1,0,visible,"Professional Italian Hair Care: NOURISHING SHAMPOO 1000ML","NOURISHING SHAMPOO 1000ML",taxable,1,100,0,0,,,,,1,,,13688.2746,"Maxy Look > Shampoos","Maxy Look, Shampoos, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX606-nourishing-shampoo-1000-ml.png",,,,,,,,,0,,,,
simple,MAX607,"NOURISHING SHAMPOO 300ML",1,0,visible,"Professional Italian Hair Care: NOURISHING SHAMPOO 300ML","NOURISHING SHAMPOO 300ML",taxable,1,100,0,0,,,,,1,,,7036.029,"Maxy Look > Shampoos","Maxy Look, Shampoos, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX607-nourishing-shampoo-300-ml.png",,,,,,,,,0,,,,
simple,MAX608,"NOURISHING MASK 1000ML",1,0,visible,"Professional Italian Hair Care: NOURISHING MASK 1000ML","NOURISHING MASK 1000ML",taxable,1,100,0,0,,,,,1,,,13858.845,"Maxy Look > Conditioners & Masks","Maxy Look, Conditioners & Masks, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX608-nourishing-mask-1000-ml.jpg.jpg.png",,,,,,,,,0,,,,
simple,MAX609,"NOURISHING MASK 300ML",1,0,visible,"Professional Italian Hair Care: NOURISHING MASK 300ML","NOURISHING MASK 300ML",taxable,1,100,0,0,,,,,1,,,7931.5236,"Maxy Look > Conditioners & Masks","Maxy Look, Conditioners & Masks, Italian Cosmetics",,"https://italiacosmetics.com/wp-content/uploads/2026/04/MAX609-nourishing-mask-1000-ml.jpg.jpg.png",,,,,,,,,0,,,,
